,sub,condition,hit,fa,dprime,duration,property,Dist,RE
45,594abd--REDACTED,Dist_Small_RE_Small_10,0.312,0.015625,1.664,10,Dist_Small_RE_Small,Small,Small
46,594abd--REDACTED,Dist_Small_RE_Large_2,0.375,0.188,0.567,2,Dist_Small_RE_Large,Small,Large
47,594abd--REDACTED,Dist_Small_RE_Small_2,0.125,0.125,0.0,2,Dist_Small_RE_Small,Small,Small
48,5b0824--REDACTED,Dist_Large_RE_Large_2,0.438,0.4,0.097,2,Dist_Large_RE_Large,Large,Large
49,5b0824--REDACTED,Dist_Small_RE_Large_2,0.562,0.562,0.0,2,Dist_Small_RE_Large,Small,Large
50,5b0824--REDACTED,Dist_Small_RE_Large_5,0.071,0.188,-0.583,5,Dist_Small_RE_Large,Small,Large
51,5b0824--REDACTED,Dist_Small_RE_Small_5,0.312,0.357,-0.124,5,Dist_Small_RE_Small,Small,Small
52,5b0824--REDACTED,Dist_Large_RE_Large_5,0.467,0.312,0.407,5,Dist_Large_RE_Large,Large,Large
53,5b0824--REDACTED,Dist_Large_RE_Large_10,0.875,0.438,1.306,10,Dist_Large_RE_Large,Large,Large
54,5b0824--REDACTED,Dist_Small_RE_Large_10,0.8,0.533,0.759,10,Dist_Small_RE_Large,Small,Large
55,5b0824--REDACTED,Dist_Large_RE_Small_2,0.312,0.188,0.395,2,Dist_Large_RE_Small,Large,Small
56,5b0824--REDACTED,Dist_Large_RE_Small_10,0.562,0.188,1.041,10,Dist_Large_RE_Small,Large,Small
57,5b0824--REDACTED,Dist_Small_RE_Small_2,0.438,0.25,0.518,2,Dist_Small_RE_Small,Small,Small
58,5b0824--REDACTED,Dist_Large_RE_Small_5,0.688,0.375,0.809,5,Dist_Large_RE_Small,Large,Small
59,5b0824--REDACTED,Dist_Small_RE_Small_10,0.5,0.25,0.674,10,Dist_Small_RE_Small,Small,Small
60,5baf67--REDACTED,Dist_Large_RE_Small_5,0.688,0.188,1.375,5,Dist_Large_RE_Small,Large,Small
61,5baf67--REDACTED,Dist_Small_RE_Large_5,0.375,0.312,0.172,5,Dist_Small_RE_Large,Small,Large
62,5baf67--REDACTED,Dist_Large_RE_Large_10,0.875,0.25,1.825,10,Dist_Large_RE_Large,Large,Large
63,5baf67--REDACTED,Dist_Small_RE_Large_10,0.562,0.188,1.041,10,Dist_Small_RE_Large,Small,Large
64,5baf67--REDACTED,Dist_Large_RE_Large_2,0.688,0.188,1.375,2,Dist_Large_RE_Large,Large,Large
65,5baf67--REDACTED,Dist_Small_RE_Small_2,0.015625,0.438,-1.998,2,Dist_Small_RE_Small,Small,Small
66,5baf67--REDACTED,Dist_Large_RE_Large_5,0.812,0.125,2.036,5,Dist_Large_RE_Large,Large,Large
67,5baf67--REDACTED,Dist_Large_RE_Small_10,0.688,0.25,1.165,10,Dist_Large_RE_Small,Large,Small
68,5baf67--REDACTED,Dist_Large_RE_Small_2,0.562,0.188,1.041,2,Dist_Large_RE_Small,Large,Small
69,5baf67--REDACTED,Dist_Small_RE_Large_2,0.125,0.312,-0.66,2,Dist_Small_RE_Large,Small,Large
